Regel;Tijdstip aangemaakt;Meldingsoort;Melding;Referentie
699;2019-08-18 02:48:38.784073;Transactie;Database changes committed.;
700;2019-08-18 02:48:39.549841;Transactie;Database changes committed.;
701;2019-08-18 02:48:40.807264;Mededeling;In total 166,001 Journal entries are imported into Data Mart within this task.;
702;2019-08-18 02:48:40.807319;Transactie;Database changes committed.;
703;2019-08-18 02:48:41.211453;Transactie;Database changes committed.;
704;2019-08-18 02:48:42.429973;Mededeling;In total 167,001 Journal entries are imported into Data Mart within this task.;
705;2019-08-18 02:48:42.43007;Transactie;Database changes committed.;
706;2019-08-18 02:48:43.209243;Transactie;Database changes committed.;
707;2019-08-18 02:48:44.461987;Mededeling;In total 168,001 Journal entries are imported into Data Mart within this task.;
708;2019-08-18 02:48:44.462064;Transactie;Database changes committed.;
709;2019-08-18 02:48:45.743353;Transactie;Database changes committed.;
710;2019-08-18 02:48:46.961349;Mededeling;In total 169,001 Journal entries are imported into Data Mart within this task.;
711;2019-08-18 02:48:46.961428;Transactie;Database changes committed.;
712;2019-08-18 02:48:47.366485;Transactie;Database changes committed.;
713;2019-08-18 02:48:48.582844;Mededeling;In total 170,001 Journal entries are imported into Data Mart within this task.;
714;2019-08-18 02:48:48.58292;Transactie;Database changes committed.;
715;2019-08-18 02:48:48.948356;Transactie;Database changes committed.;
716;2019-08-18 02:48:50.206985;Mededeling;In total 171,001 Journal entries are imported into Data Mart within this task.;
717;2019-08-18 02:48:50.207027;Transactie;Database changes committed.;
718;2019-08-18 02:48:50.528139;Transactie;Database changes committed.;
719;2019-08-18 02:48:51.741354;Mededeling;In total 172,001 Journal entries are imported into Data Mart within this task.;
720;2019-08-18 02:48:51.741432;Transactie;Database changes committed.;
721;2019-08-18 02:48:53.059149;Transactie;Database changes committed.;
722;2019-08-18 02:48:54.320093;Mededeling;In total 173,001 Journal entries are imported into Data Mart within this task.;
723;2019-08-18 02:48:54.320173;Transactie;Database changes committed.;
724;2019-08-18 02:48:54.692687;Transactie;Database changes committed.;
725;2019-08-18 02:48:55.919123;Mededeling;In total 174,001 Journal entries are imported into Data Mart within this task.;
726;2019-08-18 02:48:55.919204;Transactie;Database changes committed.;
727;2019-08-18 02:48:57.20002;Transactie;Database changes committed.;
728;2019-08-18 02:48:58.442953;Mededeling;In total 175,001 Journal entries are imported into Data Mart within this task.;
729;2019-08-18 02:48:58.443016;Transactie;Database changes committed.;
730;2019-08-18 02:48:58.764868;Transactie;Database changes committed.;
731;2019-08-18 02:49:00.022313;Mededeling;In total 176,001 Journal entries are imported into Data Mart within this task.;
732;2019-08-18 02:49:00.022354;Transactie;Database changes committed.;
733;2019-08-18 02:49:00.531282;Transactie;Database changes committed.;
734;2019-08-18 02:49:01.749773;Mededeling;In total 177,001 Journal entries are imported into Data Mart within this task.;
735;2019-08-18 02:49:01.749849;Transactie;Database changes committed.;
736;2019-08-18 02:49:02.22513;Transactie;Database changes committed.;
737;2019-08-18 02:49:03.535343;Mededeling;In total 178,001 Journal entries are imported into Data Mart within this task.;
738;2019-08-18 02:49:03.535421;Transactie;Database changes committed.;
739;2019-08-18 02:49:04.384647;Transactie;Database changes committed.;
740;2019-08-18 02:49:05.944842;Mededeling;In total 179,001 Journal entries are imported into Data Mart within this task.;
741;2019-08-18 02:49:05.944922;Transactie;Database changes committed.;
742;2019-08-18 02:49:06.778131;Transactie;Database changes committed.;
743;2019-08-18 02:49:08.574961;Mededeling;In total 180,001 Journal entries are imported into Data Mart within this task.;
744;2019-08-18 02:49:08.575034;Transactie;Database changes committed.;
745;2019-08-18 02:49:09.492118;Transactie;Database changes committed.;
746;2019-08-18 02:49:11.22091;Mededeling;In total 181,001 Journal entries are imported into Data Mart within this task.;
747;2019-08-18 02:49:11.220988;Transactie;Database changes committed.;
748;2019-08-18 02:49:11.714667;Transactie;Database changes committed.;
749;2019-08-18 02:49:13.422777;Mededeling;In total 182,001 Journal entries are imported into Data Mart within this task.;
750;2019-08-18 02:49:13.422861;Transactie;Database changes committed.;
751;2019-08-18 02:49:13.891886;Transactie;Database changes committed.;
752;2019-08-18 02:49:15.650426;Mededeling;In total 183,001 Journal entries are imported into Data Mart within this task.;
753;2019-08-18 02:49:15.650505;Transactie;Database changes committed.;
754;2019-08-18 02:49:16.616021;Transactie;Database changes committed.;
755;2019-08-18 02:49:18.261891;Mededeling;In total 184,001 Journal entries are imported into Data Mart within this task.;
756;2019-08-18 02:49:18.261991;Transactie;Database changes committed.;
757;2019-08-18 02:49:18.782551;Transactie;Database changes committed.;
758;2019-08-18 02:49:20.385435;Mededeling;In total 185,001 Journal entries are imported into Data Mart within this task.;
759;2019-08-18 02:49:20.385479;Transactie;Database changes committed.;
760;2019-08-18 02:49:20.891578;Transactie;Database changes committed.;
761;2019-08-18 02:49:22.495496;Mededeling;In total 186,001 Journal entries are imported into Data Mart within this task.;
762;2019-08-18 02:49:22.495578;Transactie;Database changes committed.;
763;2019-08-18 02:49:22.951256;Transactie;Database changes committed.;
764;2019-08-18 02:49:24.576083;Mededeling;In total 187,001 Journal entries are imported into Data Mart within this task.;
765;2019-08-18 02:49:24.576163;Transactie;Database changes committed.;
766;2019-08-18 02:49:25.027242;Transactie;Database changes committed.;
767;2019-08-18 02:49:26.642349;Mededeling;In total 188,001 Journal entries are imported into Data Mart within this task.;
768;2019-08-18 02:49:26.642427;Transactie;Database changes committed.;
769;2019-08-18 02:49:27.113602;Transactie;Database changes committed.;
770;2019-08-18 02:49:28.735097;Mededeling;In total 189,001 Journal entries are imported into Data Mart within this task.;
771;2019-08-18 02:49:28.735163;Transactie;Database changes committed.;
772;2019-08-18 02:49:29.997158;Transactie;Database changes committed.;
773;2019-08-18 02:49:31.6228;Mededeling;In total 190,001 Journal entries are imported into Data Mart within this task.;
774;2019-08-18 02:49:31.622852;Transactie;Database changes committed.;
775;2019-08-18 02:49:32.740234;Transactie;Database changes committed.;
776;2019-08-18 02:49:34.361235;Mededeling;In total 191,001 Journal entries are imported into Data Mart within this task.;
777;2019-08-18 02:49:34.361333;Transactie;Database changes committed.;
778;2019-08-18 02:49:35.276626;Transactie;Database changes committed.;
779;2019-08-18 02:49:36.953635;Mededeling;In total 192,001 Journal entries are imported into Data Mart within this task.;
780;2019-08-18 02:49:36.953716;Transactie;Database changes committed.;
781;2019-08-18 02:49:37.49644;Transactie;Database changes committed.;
782;2019-08-18 02:49:39.391111;Mededeling;In total 193,001 Journal entries are imported into Data Mart within this task.;
783;2019-08-18 02:49:39.391247;Transactie;Database changes committed.;
784;2019-08-18 02:49:39.903677;Transactie;Database changes committed.;
785;2019-08-18 02:49:41.585891;Mededeling;In total 194,001 Journal entries are imported into Data Mart within this task.;
786;2019-08-18 02:49:41.585969;Transactie;Database changes committed.;
787;2019-08-18 02:49:42.231851;Transactie;Database changes committed.;
788;2019-08-18 02:49:43.943535;Mededeling;In total 195,001 Journal entries are imported into Data Mart within this task.;
789;2019-08-18 02:49:43.943615;Transactie;Database changes committed.;
790;2019-08-18 02:49:45.112971;Transactie;Database changes committed.;
791;2019-08-18 02:49:46.805617;Mededeling;In total 196,001 Journal entries are imported into Data Mart within this task.;
792;2019-08-18 02:49:46.805727;Transactie;Database changes committed.;
793;2019-08-18 02:49:47.279579;Transactie;Database changes committed.;
794;2019-08-18 02:49:48.972852;Mededeling;In total 197,001 Journal entries are imported into Data Mart within this task.;
795;2019-08-18 02:49:48.97296;Transactie;Database changes committed.;
796;2019-08-18 02:49:49.366094;Transactie;Database changes committed.;
797;2019-08-18 02:49:51.051688;Mededeling;In total 198,001 Journal entries are imported into Data Mart within this task.;
798;2019-08-18 02:49:51.051757;Transactie;Database changes committed.;
799;2019-08-18 02:49:51.492381;Transactie;Database changes committed.;
800;2019-08-18 02:49:53.23425;Mededeling;In total 199,001 Journal entries are imported into Data Mart within this task.;
801;2019-08-18 02:49:53.234331;Transactie;Database changes committed.;
802;2019-08-18 02:49:54.872999;Transactie;Database changes committed.;
803;2019-08-18 02:49:56.572935;Mededeling;In total 200,001 Journal entries are imported into Data Mart within this task.;
804;2019-08-18 02:49:56.573059;Transactie;Database changes committed.;
805;2019-08-18 02:49:56.972986;Transactie;Database changes committed.;
806;2019-08-18 02:49:58.676834;Mededeling;In total 201,001 Journal entries are imported into Data Mart within this task.;
807;2019-08-18 02:49:58.676889;Transactie;Database changes committed.;
808;2019-08-18 02:49:59.12946;Transactie;Database changes committed.;
809;2019-08-18 02:50:00.816625;Mededeling;In total 202,001 Journal entries are imported into Data Mart within this task.;
810;2019-08-18 02:50:00.81669;Transactie;Database changes committed.;
811;2019-08-18 02:50:02.439243;Transactie;Database changes committed.;
812;2019-08-18 02:50:04.124851;Mededeling;In total 203,001 Journal entries are imported into Data Mart within this task.;
813;2019-08-18 02:50:04.124921;Transactie;Database changes committed.;
814;2019-08-18 02:50:05.092661;Transactie;Database changes committed.;
815;2019-08-18 02:50:06.792344;Mededeling;In total 204,001 Journal entries are imported into Data Mart within this task.;
816;2019-08-18 02:50:06.792442;Transactie;Database changes committed.;
817;2019-08-18 02:50:07.634101;Transactie;Database changes committed.;
818;2019-08-18 02:50:09.732148;Mededeling;In total 205,001 Journal entries are imported into Data Mart within this task.;
819;2019-08-18 02:50:09.732211;Transactie;Database changes committed.;
820;2019-08-18 02:50:11.063863;Transactie;Database changes committed.;
821;2019-08-18 02:50:13.126269;Mededeling;In total 206,001 Journal entries are imported into Data Mart within this task.;
822;2019-08-18 02:50:13.126343;Transactie;Database changes committed.;
823;2019-08-18 02:50:14.342182;Transactie;Database changes committed.;
824;2019-08-18 02:50:16.344054;Mededeling;In total 207,001 Journal entries are imported into Data Mart within this task.;
825;2019-08-18 02:50:16.344145;Transactie;Database changes committed.;
826;2019-08-18 02:50:17.755112;Transactie;Database changes committed.;
827;2019-08-18 02:50:19.648036;Mededeling;In total 208,001 Journal entries are imported into Data Mart within this task.;
828;2019-08-18 02:50:19.648103;Transactie;Database changes committed.;
829;2019-08-18 02:50:20.53294;Transactie;Database changes committed.;
830;2019-08-18 02:50:22.488667;Mededeling;In total 209,001 Journal entries are imported into Data Mart within this task.;
831;2019-08-18 02:50:22.488746;Transactie;Database changes committed.;
832;2019-08-18 02:50:22.978149;Transactie;Database changes committed.;
833;2019-08-18 02:50:24.991342;Mededeling;In total 210,001 Journal entries are imported into Data Mart within this task.;
834;2019-08-18 02:50:24.991384;Transactie;Database changes committed.;
835;2019-08-18 02:50:25.747902;Transactie;Database changes committed.;
836;2019-08-18 02:50:27.373024;Mededeling;In total 211,001 Journal entries are imported into Data Mart within this task.;
837;2019-08-18 02:50:27.373133;Transactie;Database changes committed.;
838;2019-08-18 02:50:27.760095;Transactie;Database changes committed.;
839;2019-08-18 02:50:29.216787;Mededeling;In total 212,001 Journal entries are imported into Data Mart within this task.;
840;2019-08-18 02:50:29.216843;Transactie;Database changes committed.;
841;2019-08-18 02:50:30.139611;Transactie;Database changes committed.;
842;2019-08-18 02:50:31.198063;Mededeling;In total 213,001 Journal entries are imported into Data Mart within this task.;
843;2019-08-18 02:50:31.198138;Transactie;Database changes committed.;
844;2019-08-18 02:50:32.161834;Transactie;Database changes committed.;
845;2019-08-18 02:50:33.221162;Mededeling;In total 214,001 Journal entries are imported into Data Mart within this task.;
846;2019-08-18 02:50:33.221224;Transactie;Database changes committed.;
847;2019-08-18 02:50:34.500583;Transactie;Database changes committed.;
848;2019-08-18 02:50:35.5239;Mededeling;In total 215,001 Journal entries are imported into Data Mart within this task.;
849;2019-08-18 02:50:35.523942;Transactie;Database changes committed.;
850;2019-08-18 02:50:36.957296;Transactie;Database changes committed.;
851;2019-08-18 02:50:38.03968;Mededeling;In total 216,001 Journal entries are imported into Data Mart within this task.;
852;2019-08-18 02:50:38.039778;Transactie;Database changes committed.;
853;2019-08-18 02:50:39.050124;Transactie;Database changes committed.;
854;2019-08-18 02:50:40.17462;Mededeling;In total 217,001 Journal entries are imported into Data Mart within this task.;
855;2019-08-18 02:50:40.174674;Transactie;Database changes committed.;
856;2019-08-18 02:50:41.285272;Transactie;Database changes committed.;
857;2019-08-18 02:50:42.667675;Mededeling;In total 218,001 Journal entries are imported into Data Mart within this task.;
858;2019-08-18 02:50:42.667779;Transactie;Database changes committed.;
859;2019-08-18 02:50:45.100905;Transactie;Database changes committed.;
860;2019-08-18 02:50:46.208013;Mededeling;In total 219,001 Journal entries are imported into Data Mart within this task.;
861;2019-08-18 02:50:46.20806;Transactie;Database changes committed.;
862;2019-08-18 02:50:47.279889;Transactie;Database changes committed.;
863;2019-08-18 02:50:48.292232;Mededeling;In total 220,001 Journal entries are imported into Data Mart within this task.;
864;2019-08-18 02:50:48.292315;Transactie;Database changes committed.;
865;2019-08-18 02:50:50.176368;Transactie;Database changes committed.;
866;2019-08-18 02:50:51.193588;Mededeling;In total 221,001 Journal entries are imported into Data Mart within this task.;
867;2019-08-18 02:50:51.19369;Transactie;Database changes committed.;
868;2019-08-18 02:50:52.422025;Transactie;Database changes committed.;
869;2019-08-18 02:50:53.440004;Mededeling;In total 222,001 Journal entries are imported into Data Mart within this task.;
870;2019-08-18 02:50:53.44009;Transactie;Database changes committed.;
871;2019-08-18 02:50:54.717215;Transactie;Database changes committed.;
872;2019-08-18 02:50:55.733168;Mededeling;In total 223,001 Journal entries are imported into Data Mart within this task.;
873;2019-08-18 02:50:55.733219;Transactie;Database changes committed.;
874;2019-08-18 02:50:57.09376;Transactie;Database changes committed.;
875;2019-08-18 02:50:58.107969;Mededeling;In total 224,001 Journal entries are imported into Data Mart within this task.;
876;2019-08-18 02:50:58.108011;Transactie;Database changes committed.;
877;2019-08-18 02:50:59.14755;Transactie;Database changes committed.;
878;2019-08-18 02:51:00.165433;Mededeling;In total 225,001 Journal entries are imported into Data Mart within this task.;
879;2019-08-18 02:51:00.165549;Transactie;Database changes committed.;
880;2019-08-18 02:51:01.489621;Transactie;Database changes committed.;
881;2019-08-18 02:51:02.502004;Mededeling;In total 226,001 Journal entries are imported into Data Mart within this task.;
882;2019-08-18 02:51:02.502045;Transactie;Database changes committed.;
883;2019-08-18 02:51:03.141143;Transactie;Database changes committed.;
884;2019-08-18 02:51:04.156841;Mededeling;In total 227,001 Journal entries are imported into Data Mart within this task.;
885;2019-08-18 02:51:04.156882;Transactie;Database changes committed.;
886;2019-08-18 02:51:05.137316;Transactie;Database changes committed.;
887;2019-08-18 02:51:06.149313;Mededeling;In total 228,001 Journal entries are imported into Data Mart within this task.;
888;2019-08-18 02:51:06.149411;Transactie;Database changes committed.;
889;2019-08-18 02:51:07.175871;Transactie;Database changes committed.;
890;2019-08-18 02:51:08.187263;Mededeling;In total 229,001 Journal entries are imported into Data Mart within this task.;
891;2019-08-18 02:51:08.187307;Transactie;Database changes committed.;
892;2019-08-18 02:51:09.36212;Transactie;Database changes committed.;
893;2019-08-18 02:51:10.377343;Mededeling;In total 230,001 Journal entries are imported into Data Mart within this task.;
894;2019-08-18 02:51:10.377399;Transactie;Database changes committed.;
895;2019-08-18 02:51:11.600703;Transactie;Database changes committed.;
896;2019-08-18 02:51:12.61316;Mededeling;In total 231,001 Journal entries are imported into Data Mart within this task.;
897;2019-08-18 02:51:12.613239;Transactie;Database changes committed.;
898;2019-08-18 02:51:13.99563;Transactie;Database changes committed.;
899;2019-08-18 02:51:15.068328;Mededeling;In total 232,001 Journal entries are imported into Data Mart within this task.;
900;2019-08-18 02:51:15.068425;Transactie;Database changes committed.;
901;2019-08-18 02:51:17.677669;Transactie;Database changes committed.;
902;2019-08-18 02:51:18.692251;Mededeling;In total 233,001 Journal entries are imported into Data Mart within this task.;
903;2019-08-18 02:51:18.692291;Transactie;Database changes committed.;
904;2019-08-18 02:51:20.419375;Transactie;Database changes committed.;
905;2019-08-18 02:51:21.435123;Mededeling;In total 234,001 Journal entries are imported into Data Mart within this task.;
906;2019-08-18 02:51:21.435183;Transactie;Database changes committed.;
907;2019-08-18 02:51:23.162038;Transactie;Database changes committed.;
908;2019-08-18 02:51:24.174402;Mededeling;In total 235,001 Journal entries are imported into Data Mart within this task.;
909;2019-08-18 02:51:24.174442;Transactie;Database changes committed.;
910;2019-08-18 02:51:25.845142;Transactie;Database changes committed.;
911;2019-08-18 02:51:26.860017;Mededeling;In total 236,001 Journal entries are imported into Data Mart within this task.;
912;2019-08-18 02:51:26.860057;Transactie;Database changes committed.;
913;2019-08-18 02:51:28.014928;Transactie;Database changes committed.;
914;2019-08-18 02:51:29.024494;Mededeling;In total 237,001 Journal entries are imported into Data Mart within this task.;
915;2019-08-18 02:51:29.024595;Transactie;Database changes committed.;
916;2019-08-18 02:51:31.097931;Transactie;Database changes committed.;
917;2019-08-18 02:51:32.109236;Mededeling;In total 238,001 Journal entries are imported into Data Mart within this task.;
918;2019-08-18 02:51:32.109289;Transactie;Database changes committed.;
919;2019-08-18 02:51:33.255058;Transactie;Database changes committed.;
920;2019-08-18 02:51:34.26416;Mededeling;In total 239,001 Journal entries are imported into Data Mart within this task.;
921;2019-08-18 02:51:34.264203;Transactie;Database changes committed.;
922;2019-08-18 02:51:35.248748;Transactie;Database changes committed.;
923;2019-08-18 02:51:36.25845;Mededeling;In total 240,001 Journal entries are imported into Data Mart within this task.;
924;2019-08-18 02:51:36.258493;Transactie;Database changes committed.;
925;2019-08-18 02:51:37.494564;Transactie;Database changes committed.;
926;2019-08-18 02:51:38.506134;Mededeling;In total 241,001 Journal entries are imported into Data Mart within this task.;
927;2019-08-18 02:51:38.506176;Transactie;Database changes committed.;
928;2019-08-18 02:51:40.451176;Transactie;Database changes committed.;
929;2019-08-18 02:51:41.459427;Mededeling;In total 242,001 Journal entries are imported into Data Mart within this task.;
930;2019-08-18 02:51:41.459476;Transactie;Database changes committed.;
931;2019-08-18 02:51:42.557616;Transactie;Database changes committed.;
932;2019-08-18 02:51:43.567855;Mededeling;In total 243,001 Journal entries are imported into Data Mart within this task.;
933;2019-08-18 02:51:43.567895;Transactie;Database changes committed.;
934;2019-08-18 02:51:45.032694;Transactie;Database changes committed.;
935;2019-08-18 02:51:46.041773;Mededeling;In total 244,001 Journal entries are imported into Data Mart within this task.;
936;2019-08-18 02:51:46.041851;Transactie;Database changes committed.;
937;2019-08-18 02:51:48.379187;Transactie;Database changes committed.;
938;2019-08-18 02:51:49.39109;Mededeling;In total 245,001 Journal entries are imported into Data Mart within this task.;
939;2019-08-18 02:51:49.391135;Transactie;Database changes committed.;
940;2019-08-18 02:51:50.504169;Transactie;Database changes committed.;
941;2019-08-18 02:51:51.514083;Mededeling;In total 246,001 Journal entries are imported into Data Mart within this task.;
942;2019-08-18 02:51:51.514151;Transactie;Database changes committed.;
943;2019-08-18 02:51:52.273856;Transactie;Database changes committed.;
944;2019-08-18 02:51:53.285774;Mededeling;In total 247,001 Journal entries are imported into Data Mart within this task.;
945;2019-08-18 02:51:53.285847;Transactie;Database changes committed.;
946;2019-08-18 02:51:54.806533;Transactie;Database changes committed.;
947;2019-08-18 02:51:55.819569;Mededeling;In total 248,001 Journal entries are imported into Data Mart within this task.;
948;2019-08-18 02:51:55.819641;Transactie;Database changes committed.;
949;2019-08-18 02:51:58.351989;Transactie;Database changes committed.;
950;2019-08-18 02:51:59.360809;Mededeling;In total 249,001 Journal entries are imported into Data Mart within this task.;
951;2019-08-18 02:51:59.360907;Transactie;Database changes committed.;
952;2019-08-18 02:52:01.535926;Transactie;Database changes committed.;
953;2019-08-18 02:52:02.604946;Mededeling;In total 250,001 Journal entries are imported into Data Mart within this task.;
954;2019-08-18 02:52:02.605025;Transactie;Database changes committed.;
955;2019-08-18 02:52:04.510745;Transactie;Database changes committed.;
956;2019-08-18 02:52:05.522761;Mededeling;In total 251,001 Journal entries are imported into Data Mart within this task.;
957;2019-08-18 02:52:05.522847;Transactie;Database changes committed.;
958;2019-08-18 02:52:06.422146;Transactie;Database changes committed.;
959;2019-08-18 02:52:07.435341;Mededeling;In total 252,001 Journal entries are imported into Data Mart within this task.;
960;2019-08-18 02:52:07.435434;Transactie;Database changes committed.;
961;2019-08-18 02:52:08.288212;Transactie;Database changes committed.;
962;2019-08-18 02:52:09.296707;Mededeling;In total 253,001 Journal entries are imported into Data Mart within this task.;
963;2019-08-18 02:52:09.296784;Transactie;Database changes committed.;
964;2019-08-18 02:52:10.87892;Transactie;Database changes committed.;
965;2019-08-18 02:52:11.891467;Mededeling;In total 254,001 Journal entries are imported into Data Mart within this task.;
966;2019-08-18 02:52:11.891542;Transactie;Database changes committed.;
967;2019-08-18 02:52:13.234662;Transactie;Database changes committed.;
968;2019-08-18 02:52:14.244822;Mededeling;In total 255,001 Journal entries are imported into Data Mart within this task.;
969;2019-08-18 02:52:14.244901;Transactie;Database changes committed.;
970;2019-08-18 02:52:15.041786;Transactie;Database changes committed.;
971;2019-08-18 02:52:16.053016;Mededeling;In total 256,001 Journal entries are imported into Data Mart within this task.;
972;2019-08-18 02:52:16.053082;Transactie;Database changes committed.;
973;2019-08-18 02:52:17.448747;Transactie;Database changes committed.;
974;2019-08-18 02:52:18.462791;Mededeling;In total 257,001 Journal entries are imported into Data Mart within this task.;
975;2019-08-18 02:52:18.462894;Transactie;Database changes committed.;
976;2019-08-18 02:52:18.945896;Transactie;Database changes committed.;
977;2019-08-18 02:52:19.959198;Mededeling;In total 258,001 Journal entries are imported into Data Mart within this task.;
978;2019-08-18 02:52:19.959256;Transactie;Database changes committed.;
979;2019-08-18 02:52:20.747649;Transactie;Database changes committed.;
980;2019-08-18 02:52:21.760576;Mededeling;In total 259,001 Journal entries are imported into Data Mart within this task.;
981;2019-08-18 02:52:21.760672;Transactie;Database changes committed.;
982;2019-08-18 02:52:22.912792;Transactie;Database changes committed.;
983;2019-08-18 02:52:23.925329;Mededeling;In total 260,001 Journal entries are imported into Data Mart within this task.;
984;2019-08-18 02:52:23.925429;Transactie;Database changes committed.;
985;2019-08-18 02:52:25.493519;Transactie;Database changes committed.;
986;2019-08-18 02:52:26.506102;Mededeling;In total 261,001 Journal entries are imported into Data Mart within this task.;
987;2019-08-18 02:52:26.506194;Transactie;Database changes committed.;
988;2019-08-18 02:52:28.29601;Transactie;Database changes committed.;
989;2019-08-18 02:52:29.308922;Mededeling;In total 262,001 Journal entries are imported into Data Mart within this task.;
990;2019-08-18 02:52:29.308994;Transactie;Database changes committed.;
991;2019-08-18 02:52:30.295588;Transactie;Database changes committed.;
992;2019-08-18 02:52:31.307982;Mededeling;In total 263,001 Journal entries are imported into Data Mart within this task.;
993;2019-08-18 02:52:31.308119;Transactie;Database changes committed.;
994;2019-08-18 02:52:34.751732;Transactie;Database changes committed.;
995;2019-08-18 02:52:35.763456;Mededeling;In total 264,001 Journal entries are imported into Data Mart within this task.;
996;2019-08-18 02:52:35.76353;Transactie;Database changes committed.;
997;2019-08-18 02:52:37.505464;Transactie;Database changes committed.;
998;2019-08-18 02:52:38.51882;Mededeling;In total 265,001 Journal entries are imported into Data Mart within this task.;
999;2019-08-18 02:52:38.518895;Transactie;Database changes committed.;
1000;2019-08-18 02:52:40.996819;Transactie;Database changes committed.;
1001;2019-08-18 02:52:42.007207;Mededeling;In total 266,001 Journal entries are imported into Data Mart within this task.;
1002;2019-08-18 02:52:42.007281;Transactie;Database changes committed.;
1003;2019-08-18 02:52:46.325582;Transactie;Database changes committed.;
1004;2019-08-18 02:52:47.33795;Mededeling;In total 267,001 Journal entries are imported into Data Mart within this task.;
1005;2019-08-18 02:52:47.338008;Transactie;Database changes committed.;
1006;2019-08-18 02:52:49.893551;Transactie;Database changes committed.;
1007;2019-08-18 02:52:50.912108;Mededeling;In total 268,001 Journal entries are imported into Data Mart within this task.;
1008;2019-08-18 02:52:50.912169;Transactie;Database changes committed.;
1009;2019-08-18 02:52:54.244866;Transactie;Database changes committed.;
1010;2019-08-18 02:52:55.322056;Mededeling;In total 269,001 Journal entries are imported into Data Mart within this task.;
1011;2019-08-18 02:52:55.322149;Transactie;Database changes committed.;
1012;2019-08-18 02:53:01.209883;Transactie;Database changes committed.;
1013;2019-08-18 02:53:02.221432;Mededeling;In total 270,001 Journal entries are imported into Data Mart within this task.;
1014;2019-08-18 02:53:02.221507;Transactie;Database changes committed.;
1015;2019-08-18 02:53:04.727431;Transactie;Database changes committed.;
1016;2019-08-18 02:53:05.742814;Mededeling;In total 271,001 Journal entries are imported into Data Mart within this task.;
1017;2019-08-18 02:53:05.742893;Transactie;Database changes committed.;
1018;2019-08-18 02:53:11.404159;Transactie;Database changes committed.;
1019;2019-08-18 02:53:12.415636;Mededeling;In total 272,001 Journal entries are imported into Data Mart within this task.;
1020;2019-08-18 02:53:12.415678;Transactie;Database changes committed.;
1021;2019-08-18 02:53:19.284564;Transactie;Database changes committed.;
1022;2019-08-18 02:53:20.294632;Mededeling;In total 273,001 Journal entries are imported into Data Mart within this task.;
1023;2019-08-18 02:53:20.294712;Transactie;Database changes committed.;
1024;2019-08-18 02:53:22.80312;Transactie;Database changes committed.;
1025;2019-08-18 02:53:23.813581;Mededeling;In total 274,001 Journal entries are imported into Data Mart within this task.;
1026;2019-08-18 02:53:23.813626;Transactie;Database changes committed.;
1027;2019-08-18 02:53:25.842085;Transactie;Database changes committed.;
1028;2019-08-18 02:53:26.857756;Mededeling;In total 275,001 Journal entries are imported into Data Mart within this task.;
1029;2019-08-18 02:53:26.857798;Transactie;Database changes committed.;
1030;2019-08-18 02:53:29.047011;Transactie;Database changes committed.;
1031;2019-08-18 02:53:30.057662;Mededeling;In total 276,001 Journal entries are imported into Data Mart within this task.;
1032;2019-08-18 02:53:30.057721;Transactie;Database changes committed.;
1033;2019-08-18 02:53:31.62765;Transactie;Database changes committed.;
1034;2019-08-18 02:53:32.64205;Mededeling;In total 277,001 Journal entries are imported into Data Mart within this task.;
1035;2019-08-18 02:53:32.642137;Transactie;Database changes committed.;
1036;2019-08-18 02:53:35.508963;Transactie;Database changes committed.;
1037;2019-08-18 02:53:36.521175;Mededeling;In total 278,001 Journal entries are imported into Data Mart within this task.;
1038;2019-08-18 02:53:36.521269;Transactie;Database changes committed.;
1039;2019-08-18 02:53:39.25976;Transactie;Database changes committed.;
1040;2019-08-18 02:53:40.270624;Mededeling;In total 279,001 Journal entries are imported into Data Mart within this task.;
1041;2019-08-18 02:53:40.270698;Transactie;Database changes committed.;
1042;2019-08-18 02:53:43.000153;Transactie;Database changes committed.;
1043;2019-08-18 02:53:44.012485;Mededeling;In total 280,001 Journal entries are imported into Data Mart within this task.;
1044;2019-08-18 02:53:44.012568;Transactie;Database changes committed.;
1045;2019-08-18 02:53:46.437157;Transactie;Database changes committed.;
1046;2019-08-18 02:53:47.450241;Mededeling;In total 281,001 Journal entries are imported into Data Mart within this task.;
1047;2019-08-18 02:53:47.450314;Transactie;Database changes committed.;
1048;2019-08-18 02:53:48.385382;Transactie;Database changes committed.;
1049;2019-08-18 02:53:49.38883;Mededeling;In total 282,001 Journal entries are imported into Data Mart within this task.;
1050;2019-08-18 02:53:49.38891;Transactie;Database changes committed.;
1051;2019-08-18 02:53:52.831337;Transactie;Database changes committed.;
1052;2019-08-18 02:53:54.239358;Mededeling;In total 283,001 Journal entries are imported into Data Mart within this task.;
1053;2019-08-18 02:53:54.239418;Transactie;Database changes committed.;
1054;2019-08-18 02:53:57.595254;Transactie;Database changes committed.;
1055;2019-08-18 02:53:59.000495;Mededeling;In total 284,001 Journal entries are imported into Data Mart within this task.;
1056;2019-08-18 02:53:59.000573;Transactie;Database changes committed.;
1057;2019-08-18 02:54:03.256143;Transactie;Database changes committed.;
1058;2019-08-18 02:54:04.646514;Mededeling;In total 285,001 Journal entries are imported into Data Mart within this task.;
1059;2019-08-18 02:54:04.646611;Transactie;Database changes committed.;
1060;2019-08-18 02:54:06.758531;Transactie;Database changes committed.;
