Regel;Tijdstip aangemaakt;Meldingsoort;Melding;Referentie
62;2019-08-18 02:00:34.949121;Mededeling;The task 'Import to MIS LogonUsers' ended.;
63;2019-08-18 02:00:34.949143;Transactie;Database changes committed.;
64;2019-08-18 02:00:35.005187;Mededeling;The task 'Import application statistics to MIS' started.;
65;2019-08-18 02:00:35.005228;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_applicationStatistics_00983.xml.gz' has been initialized.;
66;2019-08-18 02:00:35.005255;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_applicationStatistics_00983.xml.gz' has been successfully completed.;
67;2019-08-18 02:00:35.005275;Transactie;Database changes committed.;
68;2019-08-18 02:00:35.010374;Mededeling;0 Application statistics(s) are successfully imported, 0 Application statistics(s) have not been imported due to errors.;
69;2019-08-18 02:00:35.010466;Mededeling;The task 'Import application statistics to MIS' ended.;
70;2019-08-18 02:00:35.010518;Transactie;Database changes committed.;
71;2019-08-18 02:00:35.031228;Mededeling;The task 'Import main entities Premium Calculations into Data Mart' started.;
72;2019-08-18 02:00:35.031324;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_premiumcalculations_00983.xml.gz' has been initialized.;
73;2019-08-18 02:00:35.031368;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_premiumcalculations_00983.xml.gz' has been successfully completed.;
74;2019-08-18 02:00:35.031393;Transactie;Database changes committed.;
75;2019-08-18 02:00:35.037849;Mededeling;0 Premium calculation(s) are successfully imported, 0 Premium calculation(s) have not been imported due to errors.;
76;2019-08-18 02:00:35.037888;Mededeling;The task 'Import main entities Premium Calculations into Data Mart' ended.;
77;2019-08-18 02:00:35.037909;Transactie;Database changes committed.;
78;2019-08-18 02:00:35.333553;Mededeling;The task 'Import Reference data policy requests to MIS' started.;
79;2019-08-18 02:00:35.333595;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_policyRequests_ref_00983.xml.gz' has been initialized.;
80;2019-08-18 02:00:35.333618;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_policyRequests_ref_00983.xml.gz' has been successfully completed.;
81;2019-08-18 02:00:35.333638;Transactie;Database changes committed.;
82;2019-08-18 02:00:35.339828;Mededeling;The task 'Import Reference data policy requests to MIS' ended.;
