Regel;Tijdstip aangemaakt;Meldingsoort;Melding;Referentie
1;2019-08-19 02:00:05.760389;Mededeling;Batch job started.;
2;2019-08-19 02:00:05.760494;Transactie;Database changes committed.;
3;2019-08-19 02:00:05.853766;Mededeling;The task 'Initialise import directories' started.;
4;2019-08-19 02:00:05.853873;Mededeling;The task 'Initialise import directories' ended.;
5;2019-08-19 02:00:05.853931;Transactie;Database changes committed.;
6;2019-08-19 02:00:05.958628;Mededeling;The task 'Move files' started.;
7;2019-08-19 02:00:05.958733;Succesmelding;The files from directory 00984 have been successfully moved to /data/MIS/importMIS/inprocessing/00984.;
8;2019-08-19 02:00:05.958798;Mededeling;The task 'Move files' ended.;
9;2019-08-19 02:00:05.958844;Transactie;Database changes committed.;
10;2019-08-19 02:00:36.642094;Mededeling;The task 'Import Reference data product to MIS' started.;
11;2019-08-19 02:00:36.642228;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_product_ref_00984.xml.gz' has been initialized.;
12;2019-08-19 02:00:36.642266;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_product_ref_00984.xml.gz' has been successfully completed.;
13;2019-08-19 02:00:36.642292;Transactie;Database changes committed.;
14;2019-08-19 02:00:36.657635;Mededeling;The task 'Import Reference data product to MIS' ended.;
15;2019-08-19 02:00:36.657738;Transactie;Database changes committed.;
16;2019-08-19 02:00:36.811096;Mededeling;The task 'Import product to MIS' started.;
17;2019-08-19 02:00:36.811193;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_product_00984.xml.gz' has been initialized.;
18;2019-08-19 02:00:36.811276;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_product_00984.xml.gz' has been successfully completed.;
19;2019-08-19 02:00:36.811329;Transactie;Database changes committed.;
20;2019-08-19 02:00:36.828948;Mededeling;0 Product(s) are successfully imported, 0 Product(s) have not been imported due to errors.;
21;2019-08-19 02:00:36.82899;Mededeling;The task 'Import product to MIS' ended.;
22;2019-08-19 02:00:36.829051;Transactie;Database changes committed.;
23;2019-08-19 02:00:36.888868;Mededeling;The task 'Import Reference data agreements to MIS' started.;
24;2019-08-19 02:00:36.888975;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_agreements_ref_00984.xml.gz' has been initialized.;
25;2019-08-19 02:00:36.88903;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_agreements_ref_00984.xml.gz' has been successfully completed.;
26;2019-08-19 02:00:36.889103;Transactie;Database changes committed.;
27;2019-08-19 02:00:36.895964;Mededeling;The task 'Import Reference data agreements to MIS' ended.;
28;2019-08-19 02:00:36.896056;Transactie;Database changes committed.;
29;2019-08-19 02:00:36.960674;Mededeling;The task 'Import agreements to MIS' started.;
30;2019-08-19 02:00:36.960715;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_agreements_00984.xml.gz' has been initialized.;
31;2019-08-19 02:00:36.960737;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_agreements_00984.xml.gz' has been successfully completed.;
32;2019-08-19 02:00:36.96076;Transactie;Database changes committed.;
33;2019-08-19 02:00:36.967973;Mededeling;0 Agreement(s) are successfully imported, 0 Agreement(s) have not been imported due to errors.;
34;2019-08-19 02:00:36.96802;Mededeling;The task 'Import agreements to MIS' ended.;
35;2019-08-19 02:00:36.968042;Transactie;Database changes committed.;
36;2019-08-19 02:00:37.140821;Mededeling;The task 'Import to MIS Intermediaries reference data' started.;
37;2019-08-19 02:00:37.140862;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_intermediaries_ref_00984.xml.gz' has been initialized.;
38;2019-08-19 02:00:37.140885;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_intermediaries_ref_00984.xml.gz' has been successfully completed.;
39;2019-08-19 02:00:37.140904;Mededeling;The first  4 Intermediary reference(s) are being imported into Data Mart.;
40;2019-08-19 02:00:37.140925;Transactie;Database changes committed.;
41;2019-08-19 02:00:37.15255;Transactie;Database changes committed.;
42;2019-08-19 02:00:37.158984;Mededeling;The task 'Import to MIS Intermediaries reference data' ended.;
43;2019-08-19 02:00:37.159084;Transactie;Database changes committed.;
44;2019-08-19 02:00:37.292721;Mededeling;The task 'Import to  MIS Intermediaries' started.;
45;2019-08-19 02:00:37.292823;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_intermediaries_00984.xml.gz' has been initialized.;
46;2019-08-19 02:00:37.292877;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_intermediaries_00984.xml.gz' has been successfully completed.;
47;2019-08-19 02:00:37.292925;Transactie;Database changes committed.;
48;2019-08-19 02:00:37.299536;Mededeling;0 Intermediary(s) are successfully imported, 0 Intermediary(s) have not been imported due to errors.;
49;2019-08-19 02:00:37.299628;Mededeling;The task 'Import to  MIS Intermediaries' ended.;
50;2019-08-19 02:00:37.299666;Transactie;Database changes committed.;
51;2019-08-19 02:00:37.347352;Mededeling;The task 'Import to MIS LogonUsers reference data' started.;
52;2019-08-19 02:00:37.347394;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_logonusers_ref_00984.xml.gz' has been initialized.;
53;2019-08-19 02:00:37.347417;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_logonusers_ref_00984.xml.gz' has been successfully completed.;
54;2019-08-19 02:00:37.347435;Transactie;Database changes committed.;
55;2019-08-19 02:00:37.353362;Mededeling;The task 'Import to MIS LogonUsers reference data' ended.;
56;2019-08-19 02:00:37.353464;Transactie;Database changes committed.;
57;2019-08-19 02:00:37.553228;Mededeling;The task 'Import to MIS LogonUsers' started.;
58;2019-08-19 02:00:37.553304;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_logonusers_00984.xml.gz' has been initialized.;
59;2019-08-19 02:00:37.553337;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_logonusers_00984.xml.gz' has been successfully completed.;
60;2019-08-19 02:00:37.55336;Transactie;Database changes committed.;
61;2019-08-19 02:00:37.559727;Mededeling;0 user(s) are successfully imported, 0 user(s) have not been imported due to errors.;
62;2019-08-19 02:00:37.559765;Mededeling;The task 'Import to MIS LogonUsers' ended.;
63;2019-08-19 02:00:37.559786;Transactie;Database changes committed.;
64;2019-08-19 02:00:37.600076;Mededeling;The task 'Import application statistics to MIS' started.;
65;2019-08-19 02:00:37.600168;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_applicationStatistics_00984.xml.gz' has been initialized.;
66;2019-08-19 02:00:37.600221;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_applicationStatistics_00984.xml.gz' has been successfully completed.;
67;2019-08-19 02:00:37.600271;Transactie;Database changes committed.;
68;2019-08-19 02:00:37.605376;Mededeling;0 Application statistics(s) are successfully imported, 0 Application statistics(s) have not been imported due to errors.;
69;2019-08-19 02:00:37.605415;Mededeling;The task 'Import application statistics to MIS' ended.;
70;2019-08-19 02:00:37.605438;Transactie;Database changes committed.;
71;2019-08-19 02:00:37.629116;Mededeling;The task 'Import main entities Premium Calculations into Data Mart' started.;
