Regel;Tijdstip aangemaakt;Meldingsoort;Melding;Referentie
72;2019-08-19 02:00:37.629175;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_premiumcalculations_00984.xml.gz' has been initialized.;
73;2019-08-19 02:00:37.629207;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_premiumcalculations_00984.xml.gz' has been successfully completed.;
74;2019-08-19 02:00:37.629237;Transactie;Database changes committed.;
75;2019-08-19 02:00:37.635675;Mededeling;0 Premium calculation(s) are successfully imported, 0 Premium calculation(s) have not been imported due to errors.;
76;2019-08-19 02:00:37.635769;Mededeling;The task 'Import main entities Premium Calculations into Data Mart' ended.;
77;2019-08-19 02:00:37.635821;Transactie;Database changes committed.;
78;2019-08-19 02:00:37.761197;Mededeling;The task 'Import Reference data policy requests to MIS' started.;
79;2019-08-19 02:00:37.761296;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_policyRequests_ref_00984.xml.gz' has been initialized.;
80;2019-08-19 02:00:37.761357;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_policyRequests_ref_00984.xml.gz' has been successfully completed.;
81;2019-08-19 02:00:37.761406;Transactie;Database changes committed.;
82;2019-08-19 02:00:37.767463;Mededeling;The task 'Import Reference data policy requests to MIS' ended.;
83;2019-08-19 02:00:37.767561;Transactie;Database changes committed.;
84;2019-08-19 02:00:38.022327;Mededeling;The task 'Import reference data parties into Data Mart' started.;
85;2019-08-19 02:00:38.022382;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_customer_ref_00984.xml.gz' has been initialized.;
86;2019-08-19 02:00:38.022404;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_customer_ref_00984.xml.gz' has been successfully completed.;
87;2019-08-19 02:00:38.022425;Transactie;Database changes committed.;
88;2019-08-19 02:00:38.028689;Mededeling;The task 'Import reference data parties into Data Mart' ended.;
89;2019-08-19 02:00:38.028783;Transactie;Database changes committed.;
90;2019-08-19 02:01:13.563692;Mededeling;The task 'Import main entities parties into Data Mart' started.;
91;2019-08-19 02:01:13.563829;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_customers_00984.xml.gz' has been initialized.;
92;2019-08-19 02:01:13.563886;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_customers_00984.xml.gz' has been successfully completed.;
93;2019-08-19 02:01:13.563939;Mededeling;The first  744 Party(s) are being imported into Data Mart.;
94;2019-08-19 02:01:13.564021;Transactie;Database changes committed.;
95;2019-08-19 02:01:48.015307;Transactie;Database changes committed.;
96;2019-08-19 02:01:48.02153;Mededeling;744 Party(s) are successfully imported, 0 Party(s) have not been imported due to errors.;
97;2019-08-19 02:01:48.021572;Mededeling;The task 'Import main entities parties into Data Mart' ended.;
98;2019-08-19 02:01:48.021593;Transactie;Database changes committed.;
99;2019-08-19 02:01:48.073198;Records per minuut;Speed of processing entity Party(s): 637 per minute.;
100;2019-08-19 02:01:48.073293;Mededeling;The task 'Import creditors to MIS' started.;
101;2019-08-19 02:01:48.073353;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_customerCreditors_00984.xml.gz' has been initialized.;
102;2019-08-19 02:01:48.073399;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_customerCreditors_00984.xml.gz' has been successfully completed.;
103;2019-08-19 02:01:48.073445;Transactie;Database changes committed.;
104;2019-08-19 02:01:48.079706;Mededeling;0 Party Creditor(s) are successfully imported, 0 Party Creditor(s) have not been imported due to errors.;
105;2019-08-19 02:01:48.079805;Mededeling;The task 'Import creditors to MIS' ended.;
106;2019-08-19 02:01:48.079858;Transactie;Database changes committed.;
107;2019-08-19 02:01:59.431574;Mededeling;The task 'Import main entities Remote Users into Data Mart' started.;
108;2019-08-19 02:01:59.431715;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_remoteusers_00984.xml.gz' has been initialized.;
109;2019-08-19 02:01:59.431737;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_remoteusers_00984.xml.gz' has been successfully completed.;
110;2019-08-19 02:01:59.43176;Mededeling;The first  238 remote user(s) are being imported into Data Mart.;
111;2019-08-19 02:01:59.431778;Transactie;Database changes committed.;
112;2019-08-19 02:02:01.048189;Transactie;Database changes committed.;
113;2019-08-19 02:02:01.052734;Mededeling;238 remote user(s) are successfully imported, 0 remote user(s) have not been imported due to errors.;
114;2019-08-19 02:02:01.052776;Mededeling;The task 'Import main entities Remote Users into Data Mart' ended.;
115;2019-08-19 02:02:01.052797;Transactie;Database changes committed.;
116;2019-08-19 02:02:01.083876;Mededeling;The task 'Import main entities Client Sessions into Data Mart ' started.;
117;2019-08-19 02:02:01.083914;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_clientSessions_00984.xml.gz' has been initialized.;
118;2019-08-19 02:02:01.083936;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_clientSessions_00984.xml.gz' has been successfully completed.;
119;2019-08-19 02:02:01.083956;Transactie;Database changes committed.;
120;2019-08-19 02:02:01.089847;Mededeling;0 Client-session(s) are successfully imported, 0 Client-session(s) have not been imported due to errors.;
121;2019-08-19 02:02:01.089888;Mededeling;The task 'Import main entities Client Sessions into Data Mart ' ended.;
122;2019-08-19 02:02:01.089926;Transactie;Database changes committed.;
123;2019-08-19 02:02:01.110277;Mededeling;The task 'Import reference data cleaned entities into MIS' started.;
124;2019-08-19 02:02:01.110316;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_cleanedEntities_ref_00984.xml.gz' has been initialized.;
125;2019-08-19 02:02:01.110338;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_cleanedEntities_ref_00984.xml.gz' has been successfully completed.;
126;2019-08-19 02:02:01.110357;Transactie;Database changes committed.;
127;2019-08-19 02:02:01.115725;Mededeling;The task 'Import reference data cleaned entities into MIS' ended.;
128;2019-08-19 02:02:01.115825;Transactie;Database changes committed.;
129;2019-08-19 02:02:01.182968;Mededeling;The task 'Import cleaned entities into MIS' started.;
130;2019-08-19 02:02:01.183009;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_cleanedEntities_00984.xml.gz' has been initialized.;
131;2019-08-19 02:02:01.183031;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_cleanedEntities_00984.xml.gz' has been successfully completed.;
132;2019-08-19 02:02:01.183051;Transactie;Database changes committed.;
133;2019-08-19 02:02:01.188442;Mededeling;0 Cleaned entity(ies) are successfully imported, 0 Cleaned entity(ies) have not been imported due to errors.;
134;2019-08-19 02:02:01.18848;Mededeling;The task 'Import cleaned entities into MIS' ended.;
135;2019-08-19 02:02:01.188502;Transactie;Database changes committed.;
136;2019-08-19 02:02:01.259822;Mededeling;The task 'Import Reference data entity events to MIS' started.;
137;2019-08-19 02:02:01.259861;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_entityEvents_ref_00984.xml.gz' has been initialized.;
138;2019-08-19 02:02:01.259892;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_entityEvents_ref_00984.xml.gz' has been successfully completed.;
139;2019-08-19 02:02:01.259912;Transactie;Database changes committed.;
140;2019-08-19 02:02:01.263969;Mededeling;The task 'Import Reference data entity events to MIS' ended.;
141;2019-08-19 02:02:01.26401;Transactie;Database changes committed.;
142;2019-08-19 02:02:38.034789;Mededeling;The task 'Import entity events to MIS' started.;
143;2019-08-19 02:02:38.034916;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_entityEvents_00984.xml.gz' has been initialized.;
144;2019-08-19 02:02:38.034969;Mededeling;In total 1,001 change(s) are imported into Data Mart within this task.;
145;2019-08-19 02:02:38.034988;Transactie;Database changes committed.;
146;2019-08-19 02:02:42.143661;Transactie;Database changes committed.;
147;2019-08-19 02:02:42.747456;Mededeling;In total 2,001 change(s) are imported into Data Mart within this task.;
148;2019-08-19 02:02:42.747553;Transactie;Database changes committed.;
149;2019-08-19 02:02:44.341946;Transactie;Database changes committed.;
150;2019-08-19 02:02:44.370589;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_entityEvents_00984.xml.gz' has been successfully completed.;
151;2019-08-19 02:02:44.370688;Mededeling;In total 2,056 change(s) are imported into Data Mart within this task.;
152;2019-08-19 02:02:44.370744;Transactie;Database changes committed.;
153;2019-08-19 02:02:44.40566;Transactie;Database changes committed.;
154;2019-08-19 02:02:44.409611;Mededeling;2,056 change(s) are successfully imported, 0 change(s) have not been imported due to errors.;
155;2019-08-19 02:02:44.409706;Mededeling;The task 'Import entity events to MIS' ended.;
156;2019-08-19 02:02:44.409784;Transactie;Database changes committed.;
157;2019-08-19 02:02:44.504745;Mededeling;The task 'Import reference data Health Statements into Data Mart' started.;
158;2019-08-19 02:02:44.504844;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_healthStatements_ref_00984.xml.gz' has been initialized.;
159;2019-08-19 02:02:44.504897;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_healthStatements_ref_00984.xml.gz' has been successfully completed.;
160;2019-08-19 02:02:44.504944;Mededeling;The first  14 health statement reference(s) are being imported into Data Mart.;
161;2019-08-19 02:02:44.504992;Transactie;Database changes committed.;
162;2019-08-19 02:02:44.531163;Transactie;Database changes committed.;
163;2019-08-19 02:02:44.536733;Mededeling;The task 'Import reference data Health Statements into Data Mart' ended.;
164;2019-08-19 02:02:44.536773;Transactie;Database changes committed.;
165;2019-08-19 02:02:44.631038;Mededeling;The task 'Import health statement agreements into Data Mart' started.;
166;2019-08-19 02:02:44.631086;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_healthStatement_00984.xml.gz' has been initialized.;
167;2019-08-19 02:02:44.631109;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_healthStatement_00984.xml.gz' has been successfully completed.;
168;2019-08-19 02:02:44.631129;Transactie;Database changes committed.;
169;2019-08-19 02:02:44.636574;Mededeling;0 health statement(s) are successfully imported, 0 health statement(s) have not been imported due to errors.;
170;2019-08-19 02:02:44.636671;Mededeling;The task 'Import health statement agreements into Data Mart' ended.;
171;2019-08-19 02:02:44.636724;Transactie;Database changes committed.;
172;2019-08-19 02:02:44.689396;Mededeling;The task 'Import reference data Loyalty Point Transactions into Data Mart' started.;
173;2019-08-19 02:02:44.689457;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_loyaltypointtransactions_ref_00984.xml.gz' has been initialized.;
174;2019-08-19 02:02:44.689484;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_loyaltypointtransactions_ref_00984.xml.gz' has been successfully completed.;
175;2019-08-19 02:02:44.689504;Transactie;Database changes committed.;
176;2019-08-19 02:02:44.695393;Mededeling;The task 'Import reference data Loyalty Point Transactions into Data Mart' ended.;
177;2019-08-19 02:02:44.695433;Transactie;Database changes committed.;
178;2019-08-19 02:02:44.73045;Mededeling;The task 'Import main entities Loyalty Point Transactions into Data Mart' started.;
179;2019-08-19 02:02:44.73049;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_LoyaltyPointTransactions_00984.xml.gz' has been initialized.;
180;2019-08-19 02:02:44.730512;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_LoyaltyPointTransactions_00984.xml.gz' has been successfully completed.;
181;2019-08-19 02:02:44.730532;Transactie;Database changes committed.;
182;2019-08-19 02:02:44.735841;Mededeling;0 Loyalty point transaction(s) are successfully imported, 0 Loyalty point transaction(s) have not been imported due to errors.;
183;2019-08-19 02:02:44.735939;Mededeling;The task 'Import main entities Loyalty Point Transactions into Data Mart' ended.;
184;2019-08-19 02:02:44.735992;Transactie;Database changes committed.;
185;2019-08-19 02:02:44.821917;Mededeling;The task 'Import Reference data ledger entries to MIS' started.;
186;2019-08-19 02:02:44.821957;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_ledgerEntries_ref_00984.xml.gz' has been initialized.;
187;2019-08-19 02:02:44.82198;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_ledgerEntries_ref_00984.xml.gz' has been successfully completed.;
188;2019-08-19 02:02:44.82201;Transactie;Database changes committed.;
189;2019-08-19 02:02:44.827276;Mededeling;The task 'Import Reference data ledger entries to MIS' ended.;
190;2019-08-19 02:02:44.827319;Transactie;Database changes committed.;
191;2019-08-19 02:03:07.477113;Mededeling;The task 'Import ledger entries to MIS' started.;
192;2019-08-19 02:03:07.477247;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_ledgerEntries_00984.xml.gz' has been initialized.;
193;2019-08-19 02:03:07.477269;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_ledgerEntries_00984.xml.gz' has been successfully completed.;
194;2019-08-19 02:03:07.477294;Mededeling;The first  227 ledger entry (entries) are being imported into Data Mart.;
195;2019-08-19 02:03:07.477333;Transactie;Database changes committed.;
196;2019-08-19 02:03:08.081905;Transactie;Database changes committed.;
197;2019-08-19 02:03:08.086155;Mededeling;227 ledger entry (entries) are successfully imported, 0 ledger entry (entries) have not been imported due to errors.;
198;2019-08-19 02:03:08.086204;Mededeling;The task 'Import ledger entries to MIS' ended.;
199;2019-08-19 02:03:08.086226;Transactie;Database changes committed.;
200;2019-08-19 02:18:21.621964;Mededeling;The task 'Import journal entries to MIS' started.;
201;2019-08-19 02:18:21.622049;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00984/exportToMIS_journalEntries_00984.xml.gz' has been initialized.;
202;2019-08-19 02:18:21.622073;Mededeling;In total 1,001 Journal entries are imported into Data Mart within this task.;
203;2019-08-19 02:18:21.622093;Transactie;Database changes committed.;
204;2019-08-19 02:18:35.527665;Transactie;Database changes committed.;
205;2019-08-19 02:19:04.765723;Mededeling;In total 2,001 Journal entries are imported into Data Mart within this task.;
206;2019-08-19 02:19:04.765856;Transactie;Database changes committed.;
207;2019-08-19 02:19:09.474173;Transactie;Database changes committed.;
208;2019-08-19 02:19:17.241983;Mededeling;In total 3,001 Journal entries are imported into Data Mart within this task.;
209;2019-08-19 02:19:17.242068;Transactie;Database changes committed.;
210;2019-08-19 02:19:18.557641;Transactie;Database changes committed.;
211;2019-08-19 02:19:22.007326;Mededeling;In total 4,001 Journal entries are imported into Data Mart within this task.;
212;2019-08-19 02:19:22.007403;Transactie;Database changes committed.;
213;2019-08-19 02:19:23.01495;Transactie;Database changes committed.;
214;2019-08-19 02:19:27.247608;Mededeling;In total 5,001 Journal entries are imported into Data Mart within this task.;
215;2019-08-19 02:19:27.247693;Transactie;Database changes committed.;
216;2019-08-19 02:19:28.312076;Transactie;Database changes committed.;
217;2019-08-19 02:19:35.094037;Mededeling;In total 6,001 Journal entries are imported into Data Mart within this task.;
218;2019-08-19 02:19:35.094119;Transactie;Database changes committed.;
219;2019-08-19 02:19:35.924103;Transactie;Database changes committed.;
220;2019-08-19 02:19:38.138146;Mededeling;In total 7,001 Journal entries are imported into Data Mart within this task.;
221;2019-08-19 02:19:38.138192;Transactie;Database changes committed.;
222;2019-08-19 02:19:38.581043;Transactie;Database changes committed.;
223;2019-08-19 02:19:40.797215;Mededeling;In total 8,001 Journal entries are imported into Data Mart within this task.;
224;2019-08-19 02:19:40.797258;Transactie;Database changes committed.;
225;2019-08-19 02:19:41.24204;Transactie;Database changes committed.;
226;2019-08-19 02:19:43.281978;Mededeling;In total 9,001 Journal entries are imported into Data Mart within this task.;
227;2019-08-19 02:19:43.282028;Transactie;Database changes committed.;
228;2019-08-19 02:19:43.703093;Transactie;Database changes committed.;
229;2019-08-19 02:19:45.726383;Mededeling;In total 10,001 Journal entries are imported into Data Mart within this task.;
230;2019-08-19 02:19:45.726483;Transactie;Database changes committed.;
231;2019-08-19 02:19:46.133638;Transactie;Database changes committed.;
232;2019-08-19 02:19:48.137052;Mededeling;In total 11,001 Journal entries are imported into Data Mart within this task.;
233;2019-08-19 02:19:48.13715;Transactie;Database changes committed.;
234;2019-08-19 02:19:48.545276;Transactie;Database changes committed.;
235;2019-08-19 02:19:50.573147;Mededeling;In total 12,001 Journal entries are imported into Data Mart within this task.;
236;2019-08-19 02:19:50.573228;Transactie;Database changes committed.;
237;2019-08-19 02:19:50.981582;Transactie;Database changes committed.;
238;2019-08-19 02:19:53.010156;Mededeling;In total 13,001 Journal entries are imported into Data Mart within this task.;
239;2019-08-19 02:19:53.010224;Transactie;Database changes committed.;
240;2019-08-19 02:19:53.409973;Transactie;Database changes committed.;
241;2019-08-19 02:19:55.408385;Mededeling;In total 14,001 Journal entries are imported into Data Mart within this task.;
242;2019-08-19 02:19:55.408452;Transactie;Database changes committed.;
243;2019-08-19 02:19:55.811941;Transactie;Database changes committed.;
244;2019-08-19 02:19:57.833825;Mededeling;In total 15,001 Journal entries are imported into Data Mart within this task.;
245;2019-08-19 02:19:57.833867;Transactie;Database changes committed.;
246;2019-08-19 02:19:58.24629;Transactie;Database changes committed.;
247;2019-08-19 02:20:00.266299;Mededeling;In total 16,001 Journal entries are imported into Data Mart within this task.;
248;2019-08-19 02:20:00.266401;Transactie;Database changes committed.;
249;2019-08-19 02:20:00.669542;Transactie;Database changes committed.;
250;2019-08-19 02:20:02.75789;Mededeling;In total 17,001 Journal entries are imported into Data Mart within this task.;
251;2019-08-19 02:20:02.75802;Transactie;Database changes committed.;
252;2019-08-19 02:20:03.173726;Transactie;Database changes committed.;
253;2019-08-19 02:20:05.558176;Mededeling;In total 18,001 Journal entries are imported into Data Mart within this task.;
254;2019-08-19 02:20:05.558281;Transactie;Database changes committed.;
255;2019-08-19 02:20:06.043048;Transactie;Database changes committed.;
256;2019-08-19 02:20:08.228117;Mededeling;In total 19,001 Journal entries are imported into Data Mart within this task.;
257;2019-08-19 02:20:08.228161;Transactie;Database changes committed.;
258;2019-08-19 02:20:08.657205;Transactie;Database changes committed.;
259;2019-08-19 02:20:10.848774;Mededeling;In total 20,001 Journal entries are imported into Data Mart within this task.;
260;2019-08-19 02:20:10.84882;Transactie;Database changes committed.;
261;2019-08-19 02:20:12.06898;Transactie;Database changes committed.;
262;2019-08-19 02:20:14.281301;Mededeling;In total 21,001 Journal entries are imported into Data Mart within this task.;
263;2019-08-19 02:20:14.281373;Transactie;Database changes committed.;
264;2019-08-19 02:20:14.714567;Transactie;Database changes committed.;
265;2019-08-19 02:20:16.891191;Mededeling;In total 22,001 Journal entries are imported into Data Mart within this task.;
266;2019-08-19 02:20:16.89129;Transactie;Database changes committed.;
267;2019-08-19 02:20:17.323691;Transactie;Database changes committed.;
268;2019-08-19 02:20:19.563244;Mededeling;In total 23,001 Journal entries are imported into Data Mart within this task.;
269;2019-08-19 02:20:19.563361;Transactie;Database changes committed.;
270;2019-08-19 02:20:20.102539;Transactie;Database changes committed.;
271;2019-08-19 02:21:08.293313;Mededeling;In total 24,001 Journal entries are imported into Data Mart within this task.;
272;2019-08-19 02:21:08.293386;Transactie;Database changes committed.;
273;2019-08-19 02:21:17.063888;Transactie;Database changes committed.;
274;2019-08-19 02:21:18.427874;Mededeling;In total 25,001 Journal entries are imported into Data Mart within this task.;
275;2019-08-19 02:21:18.427926;Transactie;Database changes committed.;
276;2019-08-19 02:21:18.866487;Transactie;Database changes committed.;
277;2019-08-19 02:21:20.137229;Mededeling;In total 26,001 Journal entries are imported into Data Mart within this task.;
278;2019-08-19 02:21:20.137327;Transactie;Database changes committed.;
279;2019-08-19 02:21:20.484818;Transactie;Database changes committed.;
280;2019-08-19 02:21:21.724007;Mededeling;In total 27,001 Journal entries are imported into Data Mart within this task.;
281;2019-08-19 02:21:21.724053;Transactie;Database changes committed.;
282;2019-08-19 02:21:22.052471;Transactie;Database changes committed.;
283;2019-08-19 02:21:23.277374;Mededeling;In total 28,001 Journal entries are imported into Data Mart within this task.;
284;2019-08-19 02:21:23.277507;Transactie;Database changes committed.;
285;2019-08-19 02:21:23.615302;Transactie;Database changes committed.;
286;2019-08-19 02:21:30.469501;Mededeling;In total 29,001 Journal entries are imported into Data Mart within this task.;
287;2019-08-19 02:21:30.46956;Transactie;Database changes committed.;
